BBL,UnitsTotal,UnitsRes
1014650013,27,25
1015270016,17,17
1020230124,4,3
1019420122,2,2
1018380042,20,20
1018310061,3,0
1014920167,10,10
1015210045,1,1
1008240052,4,0
1020830055,29,29
1020637501,4,4
1020100038,18,18
1018270041,3,3
1019020121,3,3
1014920001,7,6
1015280026,7,5
1021640038,55,54
1021580047,49,49
1019700001,19,17
1020340024,15,15
1019580036,4,4
1021320001,26,21
1013910034,20,18
1019870015,36,36
1019180044,10,10
1018810010,15,15
1015490131,8,8
1018300064,10,9
1019140122,11,11
1008270068,13,12
1019440056,7,7
1020120063,15,13
1019120061,0,0
1018720019,11,8
1019240027,28,25
1018840055,10,10
1015840009,20,20
1014920008,1,1
1010590056,12,10
1012000049,4,4
1011620060,4,0
1011630011,25,23
1021610045,46,46
1021420061,31,31
1019050056,3,3
1018410054,20,20
1019430017,3,3
1015510018,20,20
1015760042,30,28
1013760063,6,5
1013990027,1,1
1021800023,56,55
1020310007,15,13
1019820016,7,6
1018810019,25,25
1019420059,3,3
1020800044,2,2
1020240053,2,2
1011430061,1,0
1011637503,199,196
1007190059,2,2
1021530043,53,49
1021680043,21,21
1022440001,2,0
1019820033,1,1
1015500051,9,8
1015830028,1,1
1015280004,7,0
1013770061,5,5
1014370022,54,54
1014450046,22,20
1013850014,14,13
1014170016,1,0
1016240066,15,15
1016170040,0,0
1017107503,15,15
1017860035,0,0
1004820013,8,7
1000680016,123,121
1007460005,4,4
1008010055,19,0
1010880001,1,0
1012180038,2,2
1021740088,27,25
1021970074,0,0
1020060037,11,11
1007670054,77,0
1010040029,77,0
1010720061,1,0
1007060029,0,0
1011237501,7,7
1021700268,26,26
1020800031,10,9
1015760023,57,57
1015450017,8,8
1013860049,24,23
1013400040,21,19
1017250137,3,3
1017150049,0,0
1017270065,3,3
1019230061,14,12
1018400063,0,0
1019160016,0,0
1018850037,1,0
1015340021,19,19
1015000006,8,8
1013870036,15,13
1020360038,120,120
1019180030,28,26
1020630057,37,37
1012810056,22,0
1018420042,89,89
1019210024,1,1
1019470009,8,8
1006290027,26,24
1004650015,3,3
1011850042,32,32
1012260019,3,3
1001990013,25,24
1005290140,4,3
1005690030,6,6
1013747502,126,123
1014040009,1,1
1016440121,5,0
1017540117,3,3
1003100003,18,16
1006160011,163,160
1005190012,2,2
1017500046,22,22
1001750006,6,5
1001720003,35,0
1005690003,65,65
1004650053,6,5
1022150292,2,2
1012290039,20,20
1020730042,20,20
1021090095,2,2
1020070052,0,0
1019870050,24,24
1020610038,2,2
1020120012,19,19
1018610040,1,0
1013920159,2,2
1012940001,1,0
1014090001,80,75
1013430123,6,5
1016870036,4,4
1014050058,1,1
1016890030,5,4
1021860001,1,0
1019160147,3,3
1020360044,0,0
1019280039,2,2
1020250007,4,4
1015210011,2,2
1019400143,6,5
1003670001,743,743
1004390001,7,6
1007687504,15,14
1010000057,2,0
1011200051,46,45
1012407502,63,58
1010127501,57,0
1014360010,0,0
1017730033,0,0
1017770069,0,0
1017240103,9,8
1017250028,5,5
1005890046,14,13
1000720025,1,0
1018730037,19,19
1014930107,9,8
1015830121,1,1
1014470005,131,128
1015100046,17,17
1013860017,15,8
1014320128,2,2
1004630012,5,0
1004710025,7,1
1007530004,5,4
1010580011,12,12
1004550028,1,0
1001240024,36,0
1003730011,0,0
1001950021,2,0
1004110032,1,0
1005640036,21,19
1009240002,10,10
1003980015,54,54
1009290050,70,70
1008780047,3,0
1008730001,3,0
1012390058,24,24
1010050049,0,0
1006160142,2,2
1001930028,9,8
1005920057,1,1
1005620014,11,10
1017240043,3,3
1016360023,10,9
1002170011,6,4
1000720027,25,24
1005760053,9,8
1006250004,4,4
1004727501,52,51
1005560065,1,0
1006030062,6,5
1005790009,0,0
1005510020,4,2
1008920019,2,1
1004400050,11,11
1008850057,2,1
1018930001,50,50
1018300053,10,10
1014680002,17,16
1015030056,13,10
1018440037,41,41
1015030065,8,8
1013230015,80,75
1006140013,3,3
1006270005,5,0
1011850065,2,2
1002310010,4,0
1005520032,1,0
1006080029,2,1
1009100027,0,0
1016440016,14,9
1016880112,3,3
1017200007,4,4
1017180115,4,4
1017270040,5,5
1002157503,9,8
1001740037,16,3
1008780069,24,0
1010350007,22,20
1007960013,14,13
1012420062,93,93
1010750052,20,20
1012930037,82,80
1014950059,25,25
1005220005,4,0
1004920004,21,20
1007360073,0,0
1008830026,16,15
1007860060,10,0
1021110079,14,13
1010590054,15,14
1013220115,2,2
1017780006,146,142
1017240131,11,11
1006210030,21,20
1003000010,26,24
1006320149,4,3
1000900001,1,0
1004050042,15,15
1009947503,2,0
1008480052,4,3
1007840060,34,0
1008627501,40,0
1009960046,1,0
1010010004,1,0
1010210050,1,0
1005120023,1,0
1005740026,7,6
1001950005,5,3
1008950031,29,29
1002820053,9,8
1008720078,6,0
1009410009,0,0
1010990031,13,12
1008800082,12,0
1008240042,9,0
1006950003,0,0
1010550035,5,4
1012330025,1,0
1002030031,19,0
1008230041,1,0
1004427501,10,9
1004400024,40,38
1007670043,65,61
1010230061,217,215
1010580039,15,15
1006980006,2,0
1003530020,29,27
1004980009,2,0
1012270040,22,20
1003030035,40,0
1000070030,2,0
1002280007,2,0
1009250023,8,8
1012090113,1,1
1014510031,80,80
1015180039,35,34
1013440050,8,6
1013920160,1,1
1012910038,2,0
1012890006,1,0
1004860014,6,0
1004380027,22,20
1003750039,22,20
1004920044,3,3
1008320053,12,0
1007730038,1,0
1006930036,9,8
1012320045,6,0
1006440033,2,0
1004740011,11,0
1003730060,12,12
1002300027,5,4
1009230026,1,0
1003507501,47,38
1015630016,22,22
1013470038,39,37
1012670001,77,0
1013120058,3,0
1012990033,62,0
1014040032,1,1
1017210004,11,11
1003430060,20,20
1008620013,13,0
1004590010,2,2
1006100030,23,22
1005080035,9,8
1005040028,10,10
1009060042,90,89
1006430070,2,2
1002830072,11,10
1009040007,1,0
1007320025,390,0
1008920010,1,1
1011280052,13,13
1007610033,58,0
1006060087,5,5
1002270002,5,3
1005757501,16,15
1004510032,34,30
1003980006,25,22
1007790017,14,14
1008920063,0,0
1016280060,0,0
1017110023,5,4
1002840018,6,4
1000530006,17,16
1006230043,3,3
1006200038,15,15
1009210004,1,0
1004070034,4,3
1019490015,0,0
1008760032,1,0
1006750039,1,0
1007460064,4,3
1022430241,75,67
1010830022,1,0
1016730050,17,16
1003110001,1,0
1002380014,22,20
1000640024,5,4
1001620030,5,2
1005820035,16,15
1005010031,7,6
1009960021,1,0
1011960003,21,20
1001970021,7,0
1005620033,6,5
1003730063,4,4
1004450055,82,79
1008160079,7,4
1004440031,24,24
1012110044,10,10
1007950055,10,8
1007990011,7,6
1010500013,0,0
1021120015,85,82
1012330028,38,35
1022430364,26,26
1011270151,10,10
1010810016,8,0
1015030012,2,1
1013630016,36,36
1013980009,1,0
1013440041,87,85
1008580056,7,7
1002117502,6,4
1006150086,24,24
1005270072,28,25
1007780025,6,0
1004470107,2,2
1009100039,11,11
1007580007,0,0
1007800010,43,7
1012257501,2,2
1007090001,3,0
1007190011,5,5
1012020057,9,9
1012090021,6,6
1008180010,95,95
1011850082,18,18
1006080018,1,1
1000290086,3,0
1008850035,2,2
1004770073,3,3
1007380024,7,6
1007207504,8,8
1008627502,23,18
1010510041,1,0
1010600006,14,14
1011180029,1,0
1015480011,8,8
1013757503,112,109
1014520029,0,0
1015200045,1,1
1015670006,20,20
1017100010,7,7
1017360025,24,24
1013470012,61,60
1017250051,3,3
1005960092,2,0
1005950006,16,16
1007190015,10,10
1004790040,8,0
1004340051,26,26
1004950040,11,10
1012487501,3,3
1013020022,4,3
1016300032,8,8
1016160023,0,0
1016360126,0,0
1006220064,8,8
1002180002,10,10
1002490078,1,0
1015190013,16,15
1016430059,10,8
1013970001,21,20
1013930021,13,0
1017110120,4,4
1012870028,11,0
1016730001,2,0
1009280031,141,138
1007680019,5,2
1007860018,9,0
1007690003,9,8
1010717504,9,8
1011240013,29,29
1021770132,21,21
1017277501,78,77
1006350003,2,2
1002830076,10,8
1004607502,5,4
1005840018,19,19
1005720033,8,8
1005010028,13,12
1011290013,5,5
1012020046,7,7
1010940023,1,0
1000167516,248,243
1022270026,4,0
1012830001,16,0
1014680038,28,28
1016350045,5,5
1001060017,1,0
1003000029,7,0
1006300003,3,2
1006230146,2,2
1006260027,23,20
1004967502,6,5
1015620017,21,20
1013190122,9,6
1017240072,9,8
1014057501,22,21
1016830049,9,7
1016220043,54,54
1004460005,6,5
1007320070,148,0
1007360022,0,0
1008820017,2,2
1010430011,3,0
1012130021,3,3
1011270142,7,7
1011840070,3,2
1005860031,0,0
1005730015,10,9
1011230049,1,0
1003060039,4,3
1002070010,0,0
1005637501,52,44
1002800034,3,0
1021070059,170,170
1021210024,42,40
1019280024,1,0
1018290002,14,13
1020360057,24,24
1021290009,16,16
1018840021,24,24
1003310065,263,258
1001960001,2,0
1004240027,1,0
1004450017,4,4
1006350019,3,3
1007380060,0,0
1008410020,18,0
1009000056,4,2
1012260123,4,4
1008040040,2,0
1005530015,3,0
1005270084,16,16
1004470049,23,23
1008990038,2,2
1013170019,1,0
1015110021,42,42
1013320034,5,4
1014210037,116,115
1017960034,5,5
1016880014,1,1
1016380146,14,14
1017490016,42,36
1018410060,15,0
1018947501,156,151
1014870015,0,0
1015510048,18,18
1015790034,11,11
1015430041,78,72
1013440030,142,137
1004820007,6,6
1008400028,19,0
1004790019,4,3
1012500059,8,8
1008820041,0,0
1007540025,20,20
1011640058,10,10
1012350023,1,0
1006180032,18,12
1001620041,7,4
1001590040,1,0
1004160032,24,20
1007440016,1,1
1012280023,15,15
1003040030,21,20
1018920057,15,15
1021357501,59,59
1018520099,2,0
1021150059,0,0
1019077501,3,3
1020100054,55,55
1019050124,4,4
1004960015,3,2
1011690001,1,0
1022390021,48,48
1008290057,13,0
1012020149,9,9
1011470140,8,8
1011260053,14,14
1009687501,486,485
1004390008,9,8
1003960010,618,616
1007640047,2,0
1010530125,4,4
1011690035,10,9
1011390014,1,0
1000110021,22,0
1002760033,24,22
1005450048,0,0
1005457501,2,0
1008050005,1,0
1008050022,16,0
1011850196,7,7
1013840023,8,0
1013060042,16,0
1014050045,1,1
1017180159,9,9
1016380052,24,20
1017850034,13,0
1002000026,17,16
1002810041,4,0
1002300009,16,12
1011500020,4,4
1009120054,6,5
1007120036,1,0
1006940042,110,107
1009990029,50,0
1018420007,24,24
1015560012,12,12
1015900030,42,42
1015280014,8,8
1014500005,30,30
1013890011,1,1
1013987501,198,197
1018790015,95,95
1021570064,0,0
1020140016,30,30
1020767501,5,5
1020710151,2,2
1020480025,96,96
1020347502,10,10
1020770059,1,0
1007170064,3,3
1019260115,3,3
1022200033,26,26
1022150380,2,2
1019510001,1,0
1020660019,16,16
1020740001,44,40
1018820036,42,38
1019030021,4,4
1018700052,4,0
1019470108,2,2
1015580033,30,30
1014890001,1,0
1015480146,4,2
1006010004,1,0
1001780022,13,12
1009250042,38,37
1004880003,100,0
1004400033,10,9
1004020051,14,14
1012100042,10,10
1021570091,30,27
1012440082,9,9
1012460020,5,5
1012480153,10,10
1019080063,4,3
1019600041,1,1
1021330001,70,65
1002190026,18,15
1004150007,1,0
1008670018,16,0
1007450049,15,15
1007440009,5,5
1004470050,10,9
1006020028,5,1
1008830022,7,6
1007880071,16,0
1010750051,20,20
1012360029,117,116
1019040041,1,0
1012390027,22,22
1021690009,25,25
1019490157,3,3
1020530090,43,43
1020690011,24,24
1019060002,2,0
1019370038,8,8
1019040020,3,3
1018610062,17,16
1012700063,8,6
1013170028,6,3
1013970031,2,1
1017100047,0,0
1014090061,38,35
1017680012,150,150
1016340012,8,8
1014290143,5,5
1012910127,6,0
1014050012,1,1
1017110031,4,4
1006210043,1,1
1005900051,9,8
1005400012,22,20
1014080033,119,116
1015480027,38,36
1015190008,44,44
1015180020,2,2
1013830066,2,2
1016140057,10,10
1013230043,1,1
1013797501,2,2
1015430149,12,12
1018910070,8,8
1015400042,15,15
1015280012,21,20
1014440015,117,116
1015460050,16,15
1006250005,3,2
1004220065,0,0
1008180007,7,6
1010170007,1,0
1006100026,6,5
1005947509,20,19
1005220028,9,0
1020620126,8,8
1018900072,8,8
1018890068,4,4
1014920069,37,37
1014910058,1,1
1013880049,9,8
1013870146,1,1
1008860031,22,21
1008030060,23,22
1008000019,1,0
1011180005,29,0
1021760044,21,20
1021550072,1,0
1022330005,2,0
1006460019,8,0
1006090071,3,3
1004740024,10,9
1009100003,14,13
1008510054,9,0
1004350032,5,4
1003940001,14,13
1018110050,0,0
1003110031,1,0
1005400041,3,2
1002150001,7,4
1002000033,34,30
1004670049,7,7
1004650010,2,2
1002830024,89,83
1002160001,3,0
1000720014,4,0
1005920024,4,3
1004660044,8,8
1003770051,8,8
1010560057,16,16
1015110033,94,89
1013430016,26,26
1012620076,5,0
1013230008,1,0
1014040063,1,1
1017290072,4,2
1017520069,14,14
1002997501,8,7
1002777501,96,74
1005080042,11,10
1004997505,17,14
1007440066,10,10
1010130042,1,0
1001960005,3,0
1008710026,23,22
1007840077,42,0
1020810054,10,10
1011990023,10,10
1012180018,2,2
1011040036,6,0
1022350035,67,66
1006420039,1,1
1003560090,0,0
1004490032,9,8
1007650041,180,175
1007720067,19,18
1007610066,9,8
1010350058,20,20
1017840128,20,20
1013960063,1,1
1016940001,1,0
1017920005,1,0
1017240024,3,3
1017170054,6,6
1003500078,1,0
1005130010,9,8
1001940031,4,2
1004180001,0,0
1005180030,25,22
1004090005,4,0
1003440010,13,13
1004350016,1,0
1022480112,4,4
1021797502,79,72
1020020011,30,30
1019070031,10,10
1019150058,5,5
1015540002,10,8
1018840048,48,48
1003790015,27,26
1008210021,1,0
1008180041,14,0
1001630032,5,2
1004540029,20,20
1008830021,8,7
1006120051,27,21
1005740032,1,1
1005260023,23,22
1005740065,5,5
1003720008,9,4
1009270038,94,94
1004450050,24,24
1004440047,2,2
1007640069,23,21
1011660053,3,3
1012000061,1,1
1010660024,16,16
1020740061,49,43
1010370057,10,10
1010430063,19,18
1021750060,3,0
1021190119,0,0
1019880200,1,0
1014877502,210,209
1018820042,32,32
1019210124,0,0
1019180057,3,3
1000900014,1,0
1006250043,2,1
1006200062,1,1
1005920037,4,2
1010120032,25,0
1021290041,20,20
1000757502,4,3
1003960027,20,20
1008260026,13,0
1007670001,5,0
1011220145,10,10
1012120056,0,0
1010330045,20,20
1019270048,0,0
1015450025,5,4
1014020013,7,0
1015190041,16,15
1015040018,2,1
1014990014,86,72
1013760064,3,3
1013640034,295,292
1004920038,6,0
1011260038,86,86
1008020056,19,0
1008630001,5,0
1000160180,294,293
1012160020,9,9
1007200040,15,15
1018480023,11,11
1015230168,2,2
1013970005,2,2
1015600013,18,18
1014000001,36,32
1014170020,22,22
1013120123,5,2
1021990034,2,0
1021790440,76,76
1020470005,1,0
1021340022,71,71
1018460059,10,10
1015460040,20,20
1015550014,20,20
1006150036,82,77
1003910022,22,22
1005700036,2,0
1004250031,1,0
1009130036,7,7
1004310001,203,203
1007690034,13,11
1009090038,27,25
1010200005,487,479
1004380005,4,2
1003980035,64,61
1008650018,2,0
1007640012,22,21
1008000057,20,0
1021560025,22,22
1012460049,1,0
1022150370,1,1
1020060015,10,10
1020710015,29,29
1021300015,20,20
1014060010,2,2
1016280049,16,16
1017240146,4,4
1017560011,8,8
1016820004,1,0
1006180040,1,0
1002730019,16,15
1005880048,36,33
1018060032,3,0
1017080038,15,15
1001790044,1,0
1004590046,15,14
1005760007,4,2
1005760163,1,1
1003870141,18,16
1021560029,21,21
1022150381,2,2
1021420161,78,74
1020940140,2,2
1020630031,9,9
1015100017,18,12
1018690005,2,2
1007910030,13,12
1008300052,7,5
1010550130,5,4
1012000015,64,64
1012120001,25,20
1012170011,28,27
1021730023,26,26
1007970029,2,1
1007200061,4,4
1010380056,10,10
1011850029,21,21
1022390031,72,72
1020600012,20,20
1020460063,69,67
1015470046,16,16
1016250047,30,30
1020510116,1,1
1013450029,115,114
1012670034,2,0
1015670028,9,7
1018070113,3,3
1018220029,60,60
1018920039,12,12
1014690036,3,0
1013310124,4,3
1015600038,20,20
1013980010,40,36
1016320151,3,1
1019430022,20,20
1014730013,16,16
1014510006,15,15
1015040040,50,46
1013990146,1,1
1017670033,7,0
1014150031,2,2
1005840050,8,8
1003530042,2,0
1004180052,2,0
1004670056,20,20
1011137502,325,156
1011960043,10,10
1012520038,28,28
1017180015,6,6
1017850015,1,0
1006370020,1,0
1002820011,24,22
1001740004,5,3
1006210062,1,0
1003757501,26,24
1009980050,7,6
1010560001,61,50
1002300025,5,4
1005810045,0,0
1008950079,3,0
1008200044,6,0
1005650005,6,0
1020790034,13,12
1021340090,48,42
1018480007,15,15
1014920064,2,2
1015470031,2,1
1015480010,21,21
1013980064,1,1
1021490265,44,44
1021800098,36,36
1020790112,4,4
1019050044,4,4
1018477502,12,12
1019240035,10,9
1015330122,139,139
1005130025,2,1
1004730040,5,0
1011710165,365,363
1020640051,2,2
1021200060,7,7
1019280121,0,0
1022480117,84,84
1016750043,8,8
1016290150,1,0
1017230005,4,0
1016090014,0,0
1016280052,35,33
1006420063,2,2
1006070057,9,9
1017510126,5,3
1016770036,10,8
1016380066,0,0
1004950033,60,51
1005400024,9,9
1001807501,6,4
1000920013,4,3
1022150454,1,1
1020690048,48,48
1019930082,23,21
1020260023,10,10
1020240032,0,0
1019370145,11,11
1019040016,9,9
1003900009,17,16
1004430061,10,8
1004430037,4,3
1020250049,18,18
1008490002,15,0
1011160024,0,0
1011257502,161,158
1012710055,1,0
1013850028,1,1
1016670042,27,27
1014160140,1,1
1017200012,11,11
1016777501,10,10
1016770038,4,4
1018290022,2,2
1019170054,3,3
1020230006,3,3
1019410043,3,3
1018610059,15,15
1018910029,14,14
1014920010,13,13
1013310027,4,2
1015190042,2,1
1015440037,20,20
1015080031,59,59
1015650023,14,13
1016760032,14,14
1014140105,9,8
1005840057,2,2
1009230055,1,1
1004680039,5,4
1004670053,2,2
1010390011,9,9
1010420006,10,10
1022150427,1,1
1022000001,3,0
1018900034,10,10
1015450034,84,84
1015600126,2,0
1012830063,1,0
1016330039,2,0
1015830130,1,1
1014020030,0,0
1007310164,0,0
1004960009,1,0
1004650027,1,1
1004700060,2,0
1007190032,1,1
1021700265,26,26
1022160058,1,0
1021110052,2,2
1021970080,0,0
1022430372,73,73
1019880085,25,25
1020600154,4,4
1019290013,3,3
1020630016,2,2
1013920070,49,47
1019170042,5,4
1015080027,63,62
1014700002,7,6
1015180043,10,10
1015340129,18,18
1012770052,15,0
1017530165,3,3
1017850024,8,6
1002880063,3,0
1001740034,2,0
1000790027,0,0
1006290013,22,20
1008990039,2,2
1014510008,20,20
1015100113,1,1
1016330010,2,0
1014150033,2,2
1017950116,0,0
1017210026,6,6
1003100027,31,30
1012390030,10,9
1012360061,88,82
1011680062,1,1
1007150064,1,0
1020500030,2,2
1021620047,3,0
1020930040,3,3
1018060026,4,4
1016280006,51,51
1002940008,16,0
1003440168,24,22
1002810038,3,2
1005880057,22,20
1005440073,8,8
1007310022,0,0
1004970007,11,9
1005390040,14,13
1022500072,50,49
1018920032,55,55
1021210029,1,0
1022150524,2,2
1020970027,92,84
1019770044,10,10
1019280009,10,10
1020830049,20,20
1018360022,10,9
1019130034,5,3
1018640009,317,317
1019160020,4,4
1019200063,4,2
1018260018,25,25
1014650034,1,0
1018840151,9,9
1015070056,43,40
1013890067,12,12
1013170026,3,2
1017460023,3,3
1014220021,181,172
1016160038,4,3
1016880026,8,6
1016360151,5,4
1017840021,28,25
1005870065,2,2
1008380027,9,0
1004940029,11,11
1009210001,0,0
1005970039,1,0
1005950039,2,1
1004070040,15,15
1005180001,13,12
1009000009,2,0
1004400028,20,20
1003940034,1,0
1004920042,22,20
1006990023,1,0
1011500019,6,6
1007960058,10,0
1010450012,109,109
1007070026,0,0
1011970060,5,5
1021210037,13,12
1021740059,2,0
1019530007,9,9
1021080110,2,2
1020360049,1,0
1020230057,2,2
1018460036,28,28
1018360023,19,18
1019170029,1,0
1018950078,9,9
1015057501,29,29
1015700037,1,0
1012710030,0,0
1013990120,6,4
1012920048,9,0
1012870058,20,0
1017200022,7,7
1017180058,6,6
1016820050,14,13
1005580049,5,4
1006460037,5,4
1004840009,15,0
1005370032,2,2
1004710018,21,20
1004160057,16,14
1010110052,223,220
1001350014,23,12
1005740003,2,1
1008910072,1,1
1003920022,17,17
1004470024,21,21
1008840017,8,6
1004000047,19,19
1007970037,7,0
1008000079,4,2
1010610027,18,18
1010080026,55,52
1010860031,39,35
1010340048,1,0
1021800460,1,0
1021490056,48,48
1020500047,1,0
1020640046,2,2
1020300045,1,0
1019600033,2,2
1021310028,21,21
1021300052,4,4
1006250052,6,4
1005260073,1,1
1004050012,30,28
1005720030,8,8
1021310033,5,4
1003040006,5,4
1005930051,1,0
1002010033,23,16
1005230032,28,28
1003937501,36,35
1004100010,18,16
1004760045,44,40
1003980052,10,9
1003740064,0,0
1015300045,10,8
1015820013,9,9
1013110113,0,0
1015320045,20,20
1013480049,460,369
1013870060,1,1
1017460033,0,0
1017250112,3,3
1017177501,4,4
1016550012,2,0
1017500041,4,4
1001630008,4,0
1002360030,8,6
1005730072,1,1
1005010020,23,19
1006350009,3,3
1006060093,1,1
1002270028,1,0
1001350009,5,4
1004810035,31,30
1008750056,18,18
1009060034,4,4
1009020012,20,20
1007860051,1,0
1007850049,0,0
1006750029,3,0
1008027503,5,4
1010720059,2,0
1010750049,15,15
1010860029,10,8
1011090005,0,0
1012420037,1,0
1021580010,30,30
1020710143,2,2
1019930057,61,61
1020680034,3,3
1019070033,6,6
1019370119,4,4
1018720006,4,4
1019210051,0,0
1015090039,22,20
1015400026,9,8
1015640008,7,7
1015630144,8,8
1017080026,10,8
1014060022,3,1
1014040025,1,1
1017730067,0,0
1016290013,10,10
1003000001,27,0
1002790006,4,4
1005280077,39,36
1004990037,12,9
1004650045,4,4
1008220075,3,2
1008140052,106,0
1006410058,2,1
1006060037,2,2
1005820025,0,0
1009150008,7,6
1009087501,44,43
1021790161,4,0
1019930023,60,60
1014387501,300,300
1019530062,0,0
1018220017,20,20
1019040058,8,8
1018850018,3,3
1004490003,4,2
1008600015,13,12
1008600045,75,0
1004400049,11,10
1007700076,2,0
1006790001,0,0
1008030032,4,0
1015460015,20,20
1012830015,2,0
1018670046,24,24
1015510039,23,22
1013920058,5,3
1014490023,1,0
1015090069,34,31
1011500013,10,10
1008630029,8,0
1011480014,2,0
1012220012,1,0
1012180013,2,1
1012180144,1,1
1021740050,2,0
1013690133,5,5
1013610031,11,11
1012750008,4,0
1016147501,12,11
1016150014,64,59
1006400056,10,8
1006090164,6,6
1021680031,47,47
1021620046,7,5
1018890010,5,4
1020830037,31,31
1016270039,16,14
1019530024,0,0
1020620036,14,12
1017300033,14,0
1017710006,10,10
1017820050,0,0
1017520054,4,4
1002370027,19,18
1002790072,0,0
1005840038,2,2
1004660018,24,24
1006200064,1,1
1007450017,22,22
1007420047,9,9
1006227501,2,2
1001430009,11,6
1005217501,20,19
1008690027,3,0
1007410039,20,20
1005430022,6,5
1005950090,0,0
1002920025,14,12
1005750003,12,9
1003550048,13,13
1004520022,16,14
1008380076,22,0
1008330038,15,0
1007767502,5,4
1012500060,10,10
1008270039,1,0
1007610037,40,0
1010580056,10,10
1004040052,5,5
1004380043,20,20
1004930021,2,1
1008870095,48,0
1007710020,31,31
1010790029,2,0
1010460027,20,20
1010610051,14,14
1012190121,5,5
1011680022,121,113
1022010021,2,0
1021430026,7,0
1021170028,20,20
1020610034,3,3
1012020022,1,1
1022260001,24,24
1010390025,6,5
1021680066,31,31
1021420231,40,40
1020580022,7,7
1018740004,10,10
1015230046,1,1
1019290023,1,0
1019320160,0,0
1021790701,0,0
1015250009,87,87
1015820012,10,10
1015420053,3,0
1020240153,2,2
1018870048,108,108
1018810013,25,25
1018770061,105,103
1018810006,5,5
1019470048,2,2
1014080016,5,0
1015350005,20,20
1013970014,2,1
1016230140,3,3
1012877501,227,226
1016230114,3,3
1016540026,5,0
1017500104,7,6
1015440013,15,15
1013860021,4,2
